,alpha,balance,partition_time,max_embedding_time,embedding_time
0,1.0,1.75,15151.445818,96.892017,188.36020600000006
1,1.5,1.75,14384.355827,83.339856,161.6534780000001
2,2.0,14.999999999999991,1489.028646,60.098522,14927.836919999998
