,threshold,balance,partition_time,max_embedding_time,embedding_time
0,0.0,1.75,14118.58715,90.071612,174.64602600000012
1,0.5,1.75,12948.078974,82.932776,158.93189300000006
2,1.0,0.03933994611805045,0.005604,60.919978,925.7726329999999
